ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1987,-99,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1988,-99,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1989,-99,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1990,123,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1991,156,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1992,150,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1993,184,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1994,516,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1995,405,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1996,1376,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1997,560,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1998,1353,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,1999,720,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2000,879,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2001,4971,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2002,7896,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2003,13943,-99,-99,0,-99,-99,-99,-99,0,-99
