ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1996,1602,0.58
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1997,2710,0.72
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1998,2108,0.37
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,1999,997,0.16
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2000,2363,0.1
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2001,4652,0.44
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2002,13514,0.76
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2003,10048,0.88
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2004,4466,0.7
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2005,2870,0.17
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2006,2944,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2007,1847,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2008,1828,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2009,2602,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2010,4488,0.706
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2011,3685,0.755
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2012,2725,0.714
Lower Columbia River Chinook Salmon ESU,Cascade,Lower Cowlitz River,Chinook,Fall-run,2013,4436,0.81
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1980,516,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1981,896,0.48
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1982,1825,0.5
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1983,3547,0.51
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1984,532,0.52
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1985,1596,0.53
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1986,539,0.49
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1987,6025,0.59
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1988,2850,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1989,2708,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1990,475,0.63
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1991,1889,0.85
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1992,796,0.47
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1993,798,0.71
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1994,3572,0.4
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1995,1321,0.51
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1996,494,0.54
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1997,595,0.23
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1998,353,0.6
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,1999,575,0.69
Lower Columbia River Chinook Salmon ESU,Coastal,"Mill, Abernathy, and Germany Creeks",Chinook,Fall-run,2000,370,0.58
